HOUSEID,VEHID,VEHYEAR,VEHAGE,MAKE,MODEL,FUELTYPE,VEHTYPE,WHOMAIN,OD_READ,HFUEL,VEHOWNED,VEHOWNMO,ANNMILES,HYBRID,PERSONID,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTHHFIN,BESTMILE,BEST_FLG,BEST_EDT,BEST_OUT,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN,GSYRGAL,GSTOTCST,FEGEMPG,FEGEMPGA,GSCOST,FEGEMPGF
30008870,03,2007,10,12,12471,01,04,03,175000,-1,02,05,19920,02,03,04,01,3,4,08,3,TX,48,3,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,290.004293903831,16923.0611977018,01,-1,-1,T,05,1500,300,750,0,1500,750,940.170066538992,1998.95825647299,18,-9,2.12616666666667,01
30008870,04,2005,12,23,23421,01,03,02,160000,-1,01,-1,8000,02,02,04,01,3,4,08,3,TX,48,3,2,201609,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,290.004293903831,8978.12750131246,01,-1,-1,T,05,1500,300,750,0,1500,750,598.541833420831,1272.59969482492,15,-9,2.12616666666667,01
30009626,01,2016,1,20,20406,01,03,01,1237,-1,02,01,14856,02,01,02,02,1,2,06,1,TX,48,1,1,201607,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,271.330207794561,11848.8201394318,01,-1,-1,C,50,7000,3000,3000,60,7000,3000,423.172147836851,899.73451499245,28,-9,2.12616666666667,01
30009626,02,2014,3,12,12037,01,01,01,24300,-1,01,-1,16000,02,01,02,02,1,2,06,1,TX,48,1,1,201607,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,271.330207794561,11037.5748073387,01,-1,-1,C,50,7000,3000,3000,60,7000,3000,367.919160244622,782.257454540108,30,-9,2.12616666666667,01
30010229,01,2016,1,41,41403,01,01,01,14425,-1,01,-1,-9,02,01,02,01,4,2,05,2,TX,48,2,2,201608,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,328.704128546876,6613.68020179486,01,-1,-1,T,20,300,300,150,05,3000,750,236.202864349816,502.206656751768,28,-9,2.12616666666667,01
30010229,02,2012,5,49,49053,01,01,02,46860,-1,01,-1,-9,02,02,02,01,4,2,05,2,TX,48,2,2,201608,04,02,04,02,01,04,01,07,03,72,01,02,12420,02,328.704128546876,4416.44661906277,04,-1,-1,T,20,300,300,150,05,3000,750,200.747573593762,426.822799389271,22,-9,2.12616666666667,01
30010584,01,2007,10,59,59031,01,01,01,34000,-1,01,-1,3500,02,01,04,02,1,1,07,1,TX,48,1,0,201605,09,02,04,02,01,04,01,07,03,72,06,02,12420,02,483.770416147459,729.047816252591,01,-1,-1,T,40,750,300,350,30,300,300,33.1385371023905,70.4580529691993,22,-9,2.12616666666667,01
30011138,01,2014,3,42,42042,01,01,01,-77,-1,01,-1,-9,02,01,06,02,1,1,07,1,TX,48,1,1,201607,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,404.305078788223,6849.25053088695,02,-1,-1,S,30,3000,750,1500,05,3000,750,326.154787185093,693.459436686705,21,-9,2.12616666666667,02
30011417,01,2008,9,42,42042,01,01,01,68960,-1,01,-1,4000,02,01,04,01,1,3,11,1,TX,48,1,1,201608,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,68.3338124815004,74.6645953119524,01,-1,-1,U,50,7000,3000,3000,40,7000,3000,2.57464121765353,5.47411633560102,29,-9,2.12616666666667,02
30011417,02,2006,11,12,12402,01,03,01,99805,-1,01,-1,5000,02,01,04,01,1,3,11,1,TX,48,1,1,201608,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,68.3338124815004,13591.0213066991,01,-1,-1,U,50,7000,3000,3000,40,7000,3000,647.191490795196,1376.03697467905,21,-9,2.12616666666667,01
30011417,03,2000,17,69,XXXXX,01,01,01,36144,-1,01,-1,1000,02,01,04,01,1,3,11,1,TX,48,1,1,201608,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,68.3338124815004,192.659601476423,01,-1,-1,U,50,7000,3000,3000,40,7000,3000,14.8199693443402,31.509724820958,13,-9,2.12616666666667,02
30011475,01,2009,8,37,37032,01,01,97,78000,-1,02,06,2400,02,97,06,02,1,2,02,1,TX,48,1,0,201609,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,110.928452602924,1884.58862390863,03,-1,-1,T,0,300,300,75,05,300,300,81.9386358221143,174.215196197119,23,-9,2.12616666666667,01
30011475,02,2001,16,99,XXXXX,03,97,01,-88,03,01,-1,100,01,01,06,02,1,2,02,1,TX,48,1,0,201609,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,110.928452602924,100,07,-1,-1,T,0,300,300,75,05,300,300,1.61290322580645,6.27043010752688,62,-9,3.88766666666667,01
30011759,01,2002,15,51,51043,01,01,01,170000,-1,01,-1,3000,02,01,06,01,1,1,06,1,TX,48,1,1,201609,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,142.204039879352,7392.14430152921,01,-1,-1,U,50,3000,1500,1500,50,3000,1500,369.60721507646,785.846540455068,20,-9,2.12616666666667,01
30012308,01,2008,9,34,34034,01,01,01,34000,-1,02,05,7200,02,01,07,02,1,1,08,1,TX,48,1,1,201604,01,02,04,02,01,04,01,07,03,72,01,01,12420,02,1957.720686739,2449.79062502323,01,-1,-1,U,70,7000,7000,5000,60,7000,3000,122.489531251162,260.433158361845,20,-9,2.12616666666667,01
30012815,01,2013,4,49,49032,01,01,02,24000,-1,01,-1,22000,02,02,05,01,2,2,07,2,TX,48,2,2,201608,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,161.564824053482,16823.3228341396,01,-1,-1,S,40,3000,1500,1500,30,3000,1500,580.114580487574,1233.42028388,29,-9,2.12616666666667,01
30012815,02,2005,12,06,6441,01,02,01,90000,-1,01,-1,12000,02,01,05,01,2,2,07,2,TX,48,2,2,201608,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,161.564824053482,11487.7849302304,01,-1,-1,S,40,3000,1500,1500,30,3000,1500,604.620259485813,1285.52344171009,19,-9,2.12616666666667,01
30013475,01,2009,8,12,12481,01,04,01,73750,-1,01,-1,12000,02,01,04,01,1,1,06,1,TX,48,1,1,201607,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,192.826240013186,13191.0674231331,01,-1,-1,S,20,3000,1500,3000,30,3000,1500,824.441713945819,1752.90049080113,16,-9,2.12616666666667,01
30013951,01,2013,4,12,12461,01,02,01,60699,-1,01,-1,10000,02,01,02,01,10,2,08,2,TX,48,2,1,201611,04,02,04,02,01,04,01,07,03,72,01,02,12420,01,325.182709396449,19985.8637958901,01,-1,-1,S,20,3000,1500,1500,05,7000,3000,1427.56169970644,3035.23410052583,14,-9,2.12616666666667,01
