HOUSEID,PERSONID,R_AGE,EDUC,R_HISP,R_RELAT,R_SEX,R_RACE,PRMACT,PAYPROF,GT1JBLWK,WRK_HOME,WKFTPT,WRKTRANS,LSTTRDAY17,OCCAT,SCHTYP,NWALKTRP,WALK4EX,NBIKETRP,BIKE4EX,BIKESHARE,PTUSED,MCUSED,CARSHARE,RIDESHARE,CARRODE,TIMETOWK,NOCONG,PUBTIME,WRKTIME,WKRMHM,FLEXTIME,WKFMHMXX,SCHTRN1,SCHTRN2,DELIVER,MEDCOND,MEDCOND6,HEALTH,PHYACT,VPACT,LPACT,BORNINUS,YRTOUS,YEARMILE,PROXY,WHOPROXY,USEPUBTR,SAMEPLC,W_NONE,W_CANE,W_WLKR,W_WHCANE,W_DOG,W_CRUTCH,W_SCOOTR,W_CHAIR,W_MTRCHR,WORKER,DIARY,OUTCNTRY,FRSTHM17,CNTTDTR,GCDWORK,WKSTFIPS,DRIVER,OUTOFTWN,DISTTOWK17,DISTTOSC17,R_AGE_IMP,R_SEX_IMP,ALT_16,ALT_23,ALT_45,WALK_DEF,WALK_GKQ,BIKE_DFR,BIKE_GKP,CONDTRAV,CONDRIDE,CONDNIGH,CONDRIVE,CONDPUB,CONDSPEC,CONDTAX,TRAVDAY,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,DRVRCNT,HHSTATE,HHSTFIPS,NUMADLT,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,SMPLSRCE,WTPERFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30217946,01,47,04,02,01,02,01,01,-1,02,01,01,-9,-1,04,-1,28,7,0,-1,-1,0,-1,0,4,-1,-1,-1,-1,07:30 AM,-1,02,-1,-1,-1,5,02,-1,02,03,2,-1,01,-1,2200,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,12,-9,-9,01,02,-9,-9,47,02,03,03,02,05,07,-1,-1,-1,-1,-1,-1,-1,-1,-1,03,01,1,1,08,1,TX,48,1,1,201610,01,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,172.900884301383,S,70,7000,3000,3000,30,3000,1500
30218457,01,67,05,02,01,02,01,06,02,-1,-1,-1,-1,-1,-1,-1,4,1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,02,-1,03,03,5,-1,01,-1,6000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,02,01,6,-9,-9,01,02,-9,-9,67,02,04,01,04,06,03,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,01,1,1,04,1,TX,48,1,0,201609,01,09,02,04,02,01,04,01,07,03,72,01,02,12420,02,64.5022417633297,S,05,3000,750,1500,0,3000,750
30218482,01,73,03,02,01,02,01,04,02,-1,-1,-1,-1,02,-1,-1,1,0,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,01,02,05,02,-1,14,01,-1,-1,01,01,02,10,-1,01,02,-1,-1,-1,-1,07,-1,02,01,02,01,0,-9,-9,02,02,-9,-9,73,02,04,04,04,-1,-1,-1,-1,01,01,02,01,02,02,02,02,01,1,1,07,0,TX,48,1,0,201606,01,01,02,04,02,01,04,01,07,03,72,01,02,12420,02,222.860576897816,T,05,3000,1500,1500,05,1500,750
30218773,01,51,04,02,01,01,06,01,-1,02,02,01,03,-1,04,-1,15,15,0,-1,-1,0,-1,0,0,1,37,20,-1,08:00 AM,02,01,-1,-1,-1,2,02,-1,03,03,4,-1,01,-1,18000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,4,12.8099999999999,48,01,02,16.8399999999992,-9,51,01,02,04,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,01,2,2,09,2,TX,48,2,2,201610,01,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,182.00147674245,C,80,3000,1500,1500,70,7000,3000
30218773,02,54,02,02,02,02,06,01,-1,02,02,01,03,-1,01,-1,20,8,1,1,8,0,-1,0,0,1,15,10,-1,08:00 AM,02,01,-1,-1,-1,3,02,-1,02,03,6,-1,01,-1,13000,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,4,12.0299999999997,48,01,02,13.3599999999997,-9,54,02,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,04,01,2,2,09,2,TX,48,2,2,201610,01,02,02,04,02,01,04,01,07,03,72,06,02,12420,02,164.775983181539,C,80,3000,1500,1500,70,7000,3000
30219631,01,31,05,02,01,02,01,01,-1,02,02,01,03,-1,04,-1,2,0,2,0,0,0,-1,0,0,1,10,10,-1,07:10 AM,02,02,-1,-1,-1,0,02,-1,02,01,-1,-1,01,-1,-88,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,4,3.26999999999998,48,01,02,4.58999999999992,-9,31,02,04,01,03,-1,03,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,2,2,05,2,TX,48,2,2,201605,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,610.176739744618,S,05,3000,750,1500,05,7000,3000
30219631,02,33,03,02,02,01,01,01,-1,02,01,01,-9,01,04,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,07:30 AM,-1,02,-1,-1,-1,1,02,-1,02,02,-1,2,01,-1,-88,02,01,02,05,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,0,-9,-9,01,02,-9,-9,33,01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,2,2,05,2,TX,48,2,2,201605,01,02,02,04,02,01,04,01,07,03,72,01,02,12420,02,770.860172003261,S,05,3000,750,1500,05,7000,3000
30219694,01,34,05,01,01,02,01,01,-1,02,02,01,03,-1,04,-1,10,7,0,-1,-1,0,-1,0,0,2,50,45,-1,06:30 AM,02,01,-1,-1,-1,2,02,-1,02,02,-1,7,01,-1,5000,01,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,01,02,01,3,42.5699999999997,48,01,02,49.4899999999998,-9,34,02,04,03,04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,3,2,10,2,TX,48,2,2,201606,01,06,02,04,02,01,01,01,07,03,72,01,01,12420,02,1708.17064961822,R,30,300,300,150,20,300,50
30219694,02,53,03,01,02,01,01,01,-1,02,02,01,03,-1,04,-1,10,5,1,1,0,0,-1,0,0,2,55,45,-1,07:00 AM,02,01,-1,-1,-1,0,02,-1,02,02,-1,7,01,-1,30000,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,01,02,02,01,5,46.25,48,01,02,53.4899999999998,-9,53,01,-1,-1,-1,-1,-1,-9,-9,-1,-1,-1,-1,-1,-1,-1,05,01,3,2,10,2,TX,48,2,2,201606,01,06,02,04,02,01,01,01,07,03,72,01,01,12420,02,1625.33176759865,R,30,300,300,150,20,300,50
30219694,03,15,01,01,03,02,01,-1,-1,-1,-1,-1,-1,-1,-1,01,1,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,04,03,-1,02,-1,02,02,-1,2,01,-1,-1,02,01,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,02,02,01,4,-9,-9,02,02,-9,6.34999999999991,15,02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,05,01,3,2,10,2,TX,48,2,2,201606,01,06,02,04,02,01,01,01,07,03,72,01,01,12420,02,1911.60930351043,R,30,300,300,150,20,300,50
