HOUSEID,TRAVDAY,SAMPSTRAT,HOMEOWN,HHSIZE,HHVEHCNT,HHFAMINC,PC,SPHONE,TAB,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,HHSTATE,HHSTFIPS,NUMADLT,YOUNGCHILD,WRKCOUNT,TDAYDATE,HHRESP,LIF_CYC,MSACAT,MSASIZE,RAIL,URBAN,URBANSIZE,URBRUR,SCRESP,CENSUS_D,CENSUS_R,CDIVMSAR,HH_RACE,HH_HISP,HH_CBSA,RESP_CNT,WEBUSE17,SMPLSRCE,WTHHFIN,HBHUR,HTHTNRNT,HTPPOPDN,HTRESDN,HTEEMPDN,HBHTNRNT,HBPPOPDN,HBRESDN
30534467,01,02,01,1,1,07,01,01,02,05,05,01,04,05,05,05,01,04,05,05,05,02,1,0,TX,48,1,0,1,201607,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,484.946185467617,R,05,300,50,75,05,300,300
30535289,06,02,01,1,1,06,01,01,02,05,05,01,05,05,05,05,02,02,05,05,05,02,1,3,TX,48,1,0,1,201605,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,416.197378641037,T,20,300,50,150,05,300,300
30535357,04,02,01,2,2,06,01,01,-9,05,05,01,05,05,05,05,04,01,02,02,04,01,2,7,TX,48,2,0,1,201606,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,500.603437265291,S,05,3000,750,1500,20,1500,300
30535868,04,02,01,2,4,08,01,01,03,05,05,02,05,05,05,05,03,02,05,05,05,01,2,6,TX,48,2,0,1,201607,02,10,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,201.450891165071,R,05,50,50,25,05,50,50
30536008,05,02,01,1,1,05,01,05,05,03,04,01,04,05,05,05,03,01,05,05,05,02,1,4,TX,48,1,0,1,201606,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,279.562624278932,S,30,3000,1500,1500,50,7000,3000
30536079,02,02,02,2,1,01,05,05,05,02,05,03,04,05,05,05,01,01,02,04,04,01,1,7,TX,48,2,0,1,201610,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,05,02,489.873329494339,C,40,7000,1500,3000,50,7000,3000
30536586,03,02,01,2,2,07,01,01,02,05,05,01,05,05,05,05,03,03,05,05,05,01,2,9,TX,48,2,0,1,201609,02,02,02,04,02,01,01,01,01,07,03,72,01,02,12420,2,01,02,150.423533119391,T,30,300,300,150,20,1500,750
30536762,06,02,01,2,2,05,01,01,01,05,05,01,05,05,05,05,04,02,05,05,05,01,2,2,TX,48,2,0,2,201609,01,02,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,149.359155298868,T,20,750,300,350,0,1500,750
30537339,02,02,02,2,1,05,01,01,-9,02,-9,01,-9,-9,-9,-9,05,05,05,05,05,01,1,9,TX,48,1,0,1,201604,01,05,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,628.971661712904,T,20,1500,750,750,40,750,300
30537932,06,02,01,2,2,04,01,01,05,05,03,01,05,05,04,05,01,02,04,04,04,01,2,6,TX,48,2,0,1,201609,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,172.20115953616,S,20,1500,750,750,05,1500,750
30538265,04,02,01,2,4,06,01,01,03,05,05,01,05,05,05,05,02,02,05,05,05,01,2,7,TX,48,2,0,1,201607,01,10,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,132.108236217534,R,20,300,50,25,20,300,300
30538668,06,02,01,1,1,08,01,01,01,05,05,01,05,05,05,05,05,03,05,05,05,02,1,4,TX,48,1,0,1,201610,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,142.096718607694,C,40,7000,3000,3000,20,7000,1500
30538870,04,02,02,4,2,09,01,01,01,02,04,01,05,05,05,05,01,02,04,04,05,01,2,10,TX,48,2,1,2,201610,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,4,01,02,610.994843873328,S,30,1500,750,750,20,750,300
30539558,06,02,01,2,1,05,01,01,02,04,04,01,05,04,04,05,04,04,04,04,04,01,1,16,TX,48,1,0,1,201611,01,05,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,195.115146570235,U,70,7000,3000,5000,40,7000,1500
30539715,06,02,01,3,2,08,01,01,01,01,05,01,05,05,05,05,04,03,04,05,05,01,2,9,TX,48,2,1,1,201607,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,252.1259375505,S,40,750,300,350,40,3000,1500
30540157,04,02,02,1,1,04,01,01,03,04,05,01,04,05,05,05,03,03,04,04,04,02,1,6,TX,48,1,0,1,201607,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,311.299092932298,U,70,7000,7000,5000,60,7000,3000
30540388,07,02,01,1,1,08,01,01,01,04,04,01,04,05,05,05,05,05,05,05,05,02,1,11,TX,48,1,0,1,201609,01,01,02,04,02,01,04,01,01,07,03,72,01,01,12420,1,01,02,792.804556360433,S,50,3000,1500,1500,50,3000,1500
30540405,03,02,01,2,2,02,04,05,05,05,05,01,04,04,05,05,05,03,03,04,03,01,2,6,TX,48,2,0,0,201608,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,04,01,126.95995954451,S,30,7000,3000,3000,30,7000,3000
30541532,06,02,01,3,3,05,01,01,01,03,04,01,05,05,05,05,02,02,04,04,04,01,2,8,TX,48,2,1,1,201609,01,04,02,04,02,01,04,01,01,07,03,72,01,02,12420,3,01,02,225.126703279333,C,50,3000,1500,1500,70,3000,1500
30541755,02,02,01,2,2,11,01,01,01,02,04,01,04,05,04,05,02,03,02,05,04,01,2,10,TX,48,2,0,2,201610,02,02,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,212.370039242326,R,05,300,300,150,05,300,50
30542113,06,02,01,1,1,06,01,01,05,-9,-9,01,-9,-9,-9,-9,04,03,05,05,05,02,1,4,TX,48,1,0,0,201609,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,124.119919106566,S,20,1500,300,750,05,750,300
30542204,05,02,02,1,1,03,01,01,01,05,05,03,03,03,05,05,03,03,05,05,05,02,1,2,TX,48,1,0,0,201609,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,165.973966990744,U,50,7000,3000,3000,70,7000,3000
30542655,05,02,01,1,1,08,01,01,02,04,05,01,03,05,04,05,01,03,02,03,04,02,1,0,TX,48,1,0,1,201605,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,561.641879309797,S,50,3000,3000,3000,40,3000,3000
30542717,02,02,02,1,1,01,01,01,05,04,05,01,04,05,05,05,03,04,05,05,05,02,1,4,TX,48,1,0,0,201608,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,175.879446051386,S,40,1500,750,750,40,1500,300
30544532,05,02,01,4,4,11,01,01,03,04,05,01,04,05,05,05,04,04,05,05,05,01,4,14,TX,48,4,0,3,201610,01,02,02,04,02,01,04,01,01,07,03,72,01,02,12420,4,01,02,332.356834324564,S,50,3000,1500,1500,0,3000,750
30545046,01,02,01,2,2,06,01,01,01,05,05,02,05,05,05,05,02,02,05,05,05,01,2,6,TX,48,2,0,0,201608,01,10,02,04,02,04,06,02,01,07,03,72,01,02,12420,2,01,02,274.333732971315,R,05,50,50,25,05,50,50
30545578,04,02,02,1,1,01,01,01,03,02,05,01,05,02,05,05,02,02,03,04,02,02,1,2,TX,48,1,0,1,201609,01,01,02,04,02,01,01,01,01,07,03,72,01,02,12420,1,01,02,284.169836011217,C,30,300,300,150,30,3000,1500
30545660,02,02,01,1,1,05,01,01,02,05,05,02,05,05,05,05,02,03,03,04,04,02,1,8,TX,48,1,0,0,201608,01,01,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,01,02,75.4147425599261,C,05,7000,3000,5000,20,7000,3000
30545668,04,02,01,4,3,06,01,01,01,03,03,01,04,05,05,05,04,01,03,03,03,01,2,14,TX,48,2,0,2,201608,01,06,02,04,02,04,06,02,01,07,03,72,04,02,12420,4,01,02,219.845201247282,R,05,300,300,150,05,300,300
30546123,03,02,01,2,1,07,01,01,01,02,05,02,05,05,05,05,02,03,04,05,04,01,2,8,TX,48,2,0,0,201610,01,10,02,04,02,01,04,01,01,07,03,72,01,02,12420,2,01,02,145.481256813141,T,05,1500,300,750,05,7000,3000
30546648,06,02,01,1,1,04,02,02,02,-9,-9,02,-9,-9,-9,-9,03,04,04,04,04,02,1,0,TX,48,1,0,0,201607,01,09,02,04,02,01,04,01,01,07,03,72,01,02,12420,1,02,02,88.5445115763076,U,30,3000,1500,3000,05,7000,3000
